,index,Textstelle,Metapher,Kandidat,Nein,Metapher?,Fokus,Rahmen,Annotator,orig,lang,Backtranslation
3270,74,"Denn das Leben, sagt Endemann, müsse die als Bakterien in die Paragrafen aufgenommenen Rechtsvorstellungen erst verarbeiten, damit die Buchstaben des Gesetzes zum Leben erwachen.",4,1,0,Metapher,"{'als', 'Keime', 'Keim', 'eingeschlossen'}","['die Rechtsgedanken, die in die Paragraphen eingeschlossen sind', 'in die Paragraphen', nan, 'in die Paragraphen']","['B', 'A', 'K', 'GoldStandard']"," Denn das Leben, sagt Endemann3), muß erst »die Rechtsgedanken verarbeiten, die als Keime in die Paragraphen eingeschlossen sind, damit die beiten, die als Keime in die Paragraphen eingeschlossen sind, damit die Gesetzesbuchstaben lebendig werden.«",da,Wortlaut verändert
3276,80,"Der Anarchismus ist nichts als ein legitimer Abkömmling des Idealismus, und der Idealismus hat keine Möglichkeit, den widerspenstigen Abkömmling zu zähmen, da er sich auf seine eigenen Prinzipien beruft.",5,0,0,Metapher,"{'Kind', 'legitimes', 'Sprößling', 'ungeberdigen', 'den'}","['der Anarchismus', 'des Idealismus,Anarchismus ist', 'Der Anarchismus ist', 'Anarchismus / Kind des Idealismus', nan]","['B', 'A', 'P', 'K', 'GoldStandard']"," Der Anarchismus ist nichts anderes als ein legitimes Kind des Idealismus; und der Idealismus besitzt kein Mittel, den ungeberdigen Sprößling zu bändigen, da es ja seine eigenen Prinzipien sind, auf welche sich dieser beruft.",da,Wortlaut verändert
3278,82,"Theoretisch hat der Mensch gelernt, sich als Zweig wie tausend andere Zweige des Stammes der organischen Welt zu betrachten und sich selbst eine relativ bescheidene Rolle im Kosmos zuzuweisen. Aber praktisch stellt er sich selbst in den Mittelpunkt der Welt und beurteilt und bewertet alle Erscheinungen nur nach dem Nutzen, den sie dem Menschen bringen.",4,1,0,Metapher,"{'Welt', 'der', 'organischen', 'Stamm'}","['Zweige am Stamme', 'der organischen Welt', 'der organischen Welt', nan, 'Zweige am Stamme']","['B', 'A', 'P', 'K', 'GoldStandard']"," Der Mensch hat zwar theoretisch gelernt sich als einen Zweig wie tausend andere Zweige am Stamme der organischen Welt zu betrachten und sich eine verhältnismäßig bescheidene Rolle im Kosmos anzuweisen. Aber praktisch stellt er sich in den Mittelpunkt der Welt zuweisen. Aber praktisch stellt er sich in den Mittelpunkt der Welt und beurteilt und wertet alle Erscheinungen nur nach dem Nutzen, den sie dem Menschen bringen.",da,weitgehend unverändert
3283,87,"Der beste Gesetzgeber ist daher derjenige, der sein Ziel schrittweise erreicht, indem er möglichst wenig Änderungen an den geltenden gesetzlichen Bestimmungen vornimmt, weil er so sein Volk vor gefährlichen Experimenten schützt und mit einem Gesetz immer den theoretisch beabsichtigten Erfolg erzielen kann Praxis zu kontrollieren, und andererseits ist sicher, dass seine gesetzgeberischen Maßnahmen Anknüpfungspunkte im Rechtsbewusstsein der Menschen finden und nicht tote Buchstaben bleiben werden.",4,1,0,Metapher,"{'Buchstaben', 'tote'}","[nan, 'Buchstaben', 'Buchstaben', 'seine gesetzgeberischen Maßnahmen', 'Buchstaben']","['B', 'A', 'P', 'K', 'GoldStandard']"," Der beste Gesetzgeber ist deshalb derjenige, der sein Ziel stufenmäßig durch möglichst geringe Abänderungen der jeweilig geltenden recht- mäßig durch möglichst geringe Abänderungen der jeweilig geltenden rechtlichen Regelung erreicht, weil er auf diese Weise einmal sein Volk vor lichen Regelung erreicht, weil er auf diese Weise einmal sein Volk vor gefährlichen Experimenten bewahrt, immer in der Lage ist, den theoretisch beabsichtigten Erfolg eines Gesetzes in der Praxis nachzuprüfen und andererseits sicher ist, daß seine gesetzgeberischen Maßnahmen im Rechtsbewußtsein seits sicher ist, daß seine gesetzgeberischen Maßnahmen im Rechtsbewußtsein des Volkes Anknüpfungspunkte finden und nicht tote Buchstaben bleiben.",da,weitgehend unverändert
3296,100,"Die Wissenschaft war nicht weit genug entwickelt, um von seinen Gedanken befruchtet zu werden und die heutige Evolutionstheorie zur Reife zu bringen.",4,0,0,Metapher,"{'lassen', 'befruchten', 'reifen'}","['die Naturwissenschaft', 'die heutige Entwicklungslehre', 'Gedanken', nan]","['B', 'K', 'A', 'GoldStandard']"," Die Naturwissenschaft war nicht entwickelt genug, um sich von seinen Gedanken befruchten zu lassen und die heutige Entwicklungslehre zu reifen.",da,Wortlaut verändert
3298,102,"Die Religion hat ihre größte Macht auf den untersten kulturellen Ebenen, denn hier ist alles gesellschaftliche Leben von Religion durchtränkt.",4,1,0,Metapher,"{'von', 'der', 'ist', 'Religion', 'durchtränkt'}","['das ganze gesellschaftliche Leben', 'von der Religion', nan, 'das ganze gesellschaftliche Leben ', 'das ganze gesellschaftliche Leben']","['B', 'A', 'P', 'K', 'GoldStandard']"," Die Religion hat ihre größte Macht auf den niedersten Kulturstufen, weil hier das ganze gesellschaftliche Leben von der Religion durchtränkt ist.",da,weitgehend unverändert
3299,103,"Die Religion hat in diesem Kampf viel an Boden verloren, aber es scheint, dass die Eroberungen der Wissenschaft noch nicht abgeschlossen sind.",4,1,0,Metapher,"{'die', 'Wissenschaft', 'verloren;', 'viel', '(Doppelfokus)', 'Terrain', 'Eroberungen', 'der'}","[nan, 'der Wissenschaft ', 'nicht abgeschlossen', 'die Religion hat in diesem Kampfe; der Wissenschaft', 'der Wissenschaft']","['B', 'A', 'P', 'K', 'GoldStandard']"," Die Religion hat in diesem Kampfe viel Terrain verloren, aber es scheint, als ob die Eroberungen der Wissenschaft noch nicht abgeschlossen sind.",da,Wortlaut verändert
3300,104,"Aber die Schulen sind für diese Menge, nicht für das einsame Genie, das übrigens auch ohne Schule und zur Schule seinen Weg geht.",4,1,0,Metapher,"{'Weg', 'seinen', 'bricht'}","['seinen Weg', 'bricht', 'seinen Weg gegen die Schule', nan, 'seinen Weg']","['B', 'A', 'P', 'K', 'GoldStandard']"," Die Schulen sind aber für diese Masse, nicht für das einsame Genie, das sich übrigens seinen Weg auch ohne Schule und gegen die Schule bricht.",da,Metapher verloren
3305,109,"Die Vernunft des einzelnen Menschen kann nicht im Voraus genau abschätzen, wie die Veränderung wirken wird, die in den Motor des gesellschaftlichen Lebens eingreift und seinen Einfluss auf die entferntesten Äußerungen desselben ausübt.",4,1,0,Metapher,{'Triebwerk'},"['des sozialen Lebens', 'des sozialen Lebens', 'des sozialen Lebens', nan, 'des sozialen Lebens']","['B', 'A', 'P', 'K', 'GoldStandard']"," Die Vernunft einzelner Menschen kann vorher nicht genau ermessen, wie jene Änderung, die in das Triebwerk des sozialen Lebens eingreift und bis in die entferntesten Erscheinungen desselben ihren Einfluß geltend macht, wirken wird.",da,Wortlaut verändert
3306,110,"Die Anstandsregeln, von denen die Anstandsregeln, Anstandsregeln als Unterteilung zu verstehen sind und sich dadurch auszeichnen, dass ihre Geltung auf kleinere soziale Kreise beschränkt ist, die sich durch Beruf, Vermögen, Stand oder Bildung verbunden fühlen, unterliegen einem solchen nicht gründlich überarbeitet, da sie einfach durch mündliche Überlieferung weitergegeben werden.",4,1,0,Metapher,{'fortpflanzen'},"[nan, 'durch mündliche Überlieferung', 'Vorschriften der Sitte', 'durch mündliche Überlieferung', 'Vorschriften der Sitte durch mündliche Überlieferung']","['B', 'A', 'P', 'K', 'GoldStandard']"," Die Vorschriften der Sitte (von denen die Vorschriften der Etiquette, des gesellschaftlichen Anstandes als eine Unterabteilung aufzufassen und dadurch charakterisiert sind, daß ihre Geltung auf kleinere gesellschaftliche Kreise, durch charakterisiert sind, daß ihre Geltung auf kleinere gesellschaftliche Kreise, die sich durch Beruf, Besitz, Stand oder Bildung verwandt fühlen, beschränkt ist) unterliegen einer solchen durchgreifenden Revision durch die Vernunft nicht, da sie sich lediglich durch mündliche Überlieferung fortpflanzen.",da,Metapher verloren
3307,111,"Die Zeitungen sehen alles durch die Lupe ihrer Parteiinteressen und ihres Wunsches, den Leser für ihre Kommunikation so interessiert wie möglich zu machen.",5,0,0,Metapher,"{'durch', 'Interesse', 'ihres', 'Vergrößerungsglas', 'möglichst', 'Parteiinteresses', 'großes', 'das'}","['ihres Parteiinteresses', 'ihres Parteiinteresses und des Bestrebens', 'Zeitungen sehen alle Dinge,dem Leser einflößen', 'ihres Parteiinteresses', 'ihres Parteiinteresses']","['B', 'A', 'P', 'K', 'GoldStandard']"," Die Zeitungen sehen alle Dinge durch das Vergrößerungsglas ihres Parteiinteresses und des Bestrebens, dem Leser für ihre Mitteilungen ein möglichst großes Interesse einzuflößen.",da,Wortlaut verändert
3312,116,"Die ganze Außenwelt ist so konzentrisch um den Menschen gruppiert, dass die Bereiche, die dem menschlichen Wohlergehen am nächsten stehen, dem Menschen am nächsten sind und am intensivsten vom Licht seiner Vernunft erleuchtet werden, während das Licht im Außen ewig wird. schwächere und abgelegenste Gebiete bleiben fast ausschließlich im Dunkeln.",5,0,0,Metapher,"{'gruppiert', 'sich', 'nach', 'seiner', 'außen', 'Vernunft', 'das', 'wird', 'werdendas', 'Dunkel)', 'mit', 'Licht', 'konzentrischVom', 'Lichte', 'schwächer', 'beleuchtet', '(Doppelfokus', 'werden', 'Vom', 'immer', 'intensivsten'}","['seiner Vernunft', 'Gebiete', 'Die ganze Außenwelt,Gebiete,die entferntesten Gebiete', 'am intensivsten beleuchtet werden // immer zu schwächer wird und die entferntesten Gebiete beinah ganz im Dunkeln bleiben', 'Gebiete']","['B', 'A', 'P', 'K', 'GoldStandard']"," Die ganze Außenwelt gruppiert sich konzentrisch um den Menschen in der Weise, daß diejenigen Gebiete, die zur menschlichen Wohlfahrt die engste Beziehung haben, dem Menschen am nächsten stehen und vom Lichte seiner Vernunft am intensivsten beleuchtet werden, während das Licht nach außen zu immer schwächer wird und die entferntesten Gebiete beinah ganz im Dunklen bleiben.",da,Wortlaut verändert
3314,118,"Die hohe Wertschätzung, die die Kenntnis dieser Weisheitsschätze, die aufgrund der übergroßen Zeichenzahl nicht leicht zu erlangen war, stets genoss, zog Licht und Sonne aus anderen Wissenszweigen.",4,0,0,Metapher,"{'Sonne', 'entzog', 'Licht'}","['anderen Wissenszweigen', 'Wissenszweigen', 'anderen Wissenszweigen', nan]","['B', 'K', 'A', 'GoldStandard']"," Die hohe Wertschätzung welche die (wegen der allzugroßen Zahl der Schriftzeichen nicht leicht zu erwerbende) Kenntnis dieser Weisheitsschätze stets zeichen nicht leicht zu erwerbende) Kenntnis dieser Weisheitsschätze stets genoß, entzog anderen Wissenszweigen Licht und Sonne.",da,weitgehend unverändert
3317,121,"Die schönste Theorie ist fehlerhaft, wenn sie keine tatsächlich tragfähige Brücke zur Verwirklichung aufzeigt oder schafft.",4,0,0,Metapher,"{'Brücke', 'gangbare', 'tatsächlich'}","['Die schönste Theorie', 'die schönste Theorie /zur Verwirklichung', 'zur Verwirklichung', nan]","['B', 'K', 'A', 'GoldStandard']"," Die schönste Theorie ist fehlerhaft, wenn sie nicht eine tatsächlich gangbare Brücke zur Verwirklichung aufweist oder herstellt. lich gangbare Brücke zur Verwirklichung aufweist oder herstellt.",da,weitgehend unverändert
3321,125,"Dies ist jedoch ein Irrtum, da das Leben unzivilisierter Völker in alle Richtungen durch die Schranken der Tradition begrenzt ist.",5,0,0,Metapher,"{'durch', 'gefesselt', 'die', 'des', 'Herkommens', 'Schranken'}","['des Herkommens', 'Leben unzivilisierter Völker', 'durch Schranken', 'das Leben ... nach allen Richtungen hin', 'des Herkommens']","['B', 'A', 'P', 'K', 'GoldStandard']"," Dies ist jedoch ein Mißverständnis, da das Leben unzivilisierter Völker nach allen Richtungen hin verständnis, da das Leben unzivilisierter Völker nach allen Richtungen hin durch die Schranken des Herkommens gefesselt ist.«",da,Wortlaut verändert
3329,133,"Aber während nur wenige Menschen die Unabhängigkeit haben, Emotionen einzuschätzen, die für einen gewissen Fortschritt wünschenswert sind, ist es nicht schwierig, jungen Menschen, die noch keine anderen Ansichten haben, neue beizubringen, die dann im emotionalen Untergrund Wurzeln schlagen und sich dort etablieren. Mit dem richtigen Einfluss würde sie bald lernen, Stammbäume und Erbwerte zu schätzen.",4,0,0,Metapher,"{'treiben', 'befestigen', 'sich', 'treibenund', 'in', 'den', 'Gefühlsuntergrund', 'da', 'festigen', 'Wurzeln'}","['neue Anschauungen', 'Wurzeln ... treiben ... sich da befestigen ', 'in den Gefühlsuntergrund', nan]","['B', 'K', 'A', 'GoldStandard']"," Doch wenn auch nur wenige Menschen die für manche Fortschritte wünschenswerte Unabhängigkeit des Urteils von Gefühlen besitzen, so ist es doch nicht schwer, der Jugend, die noch keine anderen Anschauungen hat, solche neue beizubringen, die dann Wurzeln in den Gefühlsuntergrund treiben und sich da befestigen. Sie würde bei geeigneter Einwirkung Stammbäume und Erbwerte bald schätzen lernen.",da,Wortlaut verändert
3336,140,"Eine andere christliche Vorstellung, nicht weniger verrückt, hat sich viel tiefer in das Fleisch der Moderne eingegraben: die Vorstellung von der Gleichheit der Seelen vor Gott.",5,0,0,Metapher,"{'tiefer', 'Fleisch', 'weit', 'vererbt', 'der', '...', 'Modernität', 'ins'}","['der Modernität', ' der Modernität', 'ein nicht weniger verrückter Begriff', 'der Modernität', nan]","['B', 'A', 'P', 'K', 'GoldStandard']"," Ein anderer christlicher, nicht weniger verrückter Begriff hat sich noch weit tiefer ins Fleisch der Modernität vererbt: der Begriff von der »Gleichheit der Seelen vor Gott.«",da,Wortlaut verändert
3337,141,"Ein ganz ähnliches Schicksal ereilte die Römer; die Weltherrschaft entglitt ihnen, jüngere Menschen stiegen an die Spitze auf.",6,1,0,Metapher,"{'...', 'entsanken', 'die', 'Zügel'}","['der Weltherrschaft', 'der Weltherrschaft', 'der Welt-herrschaft', 'der Welt-herrschaft', 'der Weltherrschaft', nan, nan]","['B', 'B', 'K', 'K', 'A', 'A', 'GoldStandard']"," Ein ganz ähnliches Schicksal war alsdann den Römern beschieden, die Zügel der Welt- liches Schicksal war alsdann den Römern beschieden, die Zügel der Weltherrschaft entsanken ihnen, „jüngere“ Völker kamen obenauf. herrschaft entsanken ihnen, „jüngere“ Völker kamen obenauf. ",da,Metapher verloren
3342,146,"Eine viel spätere Zeit könnte auf der Grundlage der neuen Ansichten und Einschätzungen eine neue ethische Theorie erkennen, deren höchstes Gebot darin bestehen würde, die Nachkommen interessiert nach den von den Vorfahren entlehnten erblichen und traditionellen Werten zu fragen.",3,1,0,Metapher,"{'mit', 'Zinsen', 'abzufragen'}","['Erb- und Traditionswerte', 'geliehenen Erb- und Traditionswerte', nan, nan]","['B', 'K', 'A', 'GoldStandard']"," Eine viel spätere Zeit wird dann vielleicht auf Grund der neuen Anschauungen und Wertungen eine neue ethische Theorie anerkennen, deren schauungen und Wertungen eine neue ethische Theorie anerkennen, deren höchstes Gebot sein wird, die von den Vorfahren geliehenen Erb- und Traditionswerte den Nachfahren mit Zinsen abzufragen.",da,Metapher verloren
3346,150,"Sein Gesetzgeber ist, um ein Wort von Karl Marx zu gebrauchen, wenn auch in anderem Sinne, die Hebamme des von neuen gesellschaftlichen Phänomenen geprägten gesellschaftlichen Lebens.",5,0,0,Metapher,"{'Gesellschaftslebens', 'geht', 'Geburtshelfer', 'schwanger', 'des', 'sozialen', 'Ershceinungen', 'mit', 'Geburtshelfer;', 'der', 'das', 'Erscheinungen', 'neuen'}","['der Gesetzgeber', 'des Gesellschaftslebens, mit sozialen Erscheinungen', 'Gesellschaftsleben', 'des Gesellschaftslebens; mit neuen sozialen Erscheinungen', 'Gesellschaftsleben']","['B', 'A', 'P', 'K', 'GoldStandard']"," Er [der Gesetzgeber] ist, um ein Wort von Karl Marx, allerdings in anderem Sinne, zu gebrauchen, der Geburtshelfer des Gesellschaftslebens, das mit neuen sozialen Erscheinungen schwanger geht.",da,Wortlaut verändert
3350,154,"Im Lichte seiner Vernunft beleuchtet er nur die Phänomene, von deren Kenntnis er sich das menschliche Wohlergehen erhofft.",4,1,0,Metapher,"{'hinein', 'leuchtet', 'Lichte', 'mit', 'Licht', 'dem'}","['seiner Vernunft', 'Vernunft', 'seiner Vernunft', nan, 'seiner Vernunft']","['B', 'A', 'P', 'K', 'GoldStandard']"," Er leuchtet nur in diejenigen Erscheinungen mit dem Lichte seiner Vernunft hinein, von deren Kenntnis er Förderung der menschlichen Wohlfahrt erwartet.",da,weitgehend unverändert
3354,158,"Erst nach Luthers Auftreten fassten die meisten jungen germanischen Staaten in Deutschland wie im übrigen Europa den Mut und die Kraft, sich die Tentakel und Saugnäpfe dieses gigantischen Organismus zu schnappen und die innerhalb ihrer Grenzen liegenden Teile davon in ihre zu verwandeln • eigene Landeskirchen.",5,0,0,Metapher,"{'Fangärmen', 'entreißen', 'Riesenorganismus', 'dieses', 'Saugnäpfen', 'sich', 'Fangarmen', 'den'}","['die katholische Kirche [dieses Riesenorganismus]', 'dieses Riesenorganismus', 'gewannen die meisten der jungen germanischen Staaten den Mut und die Kraft', 'dieses Riesenorganismus [Deutschland ... Europa]', nan]","['B', 'A', 'P', 'K', 'GoldStandard']"," Erst nach dem Auftreten Luthers gewannen die meisten der jungen germanischen Staaten, in Deutschland wie im übrigen Europa, den Mut und die Kraft, sich den Fangarmen und Saugnäpfen dieses Riesenorganismus zu entreißen und die Stücke desselben, welche innerhalb ihrer Grenzen nismus zu entreißen und die Stücke desselben, welche innerhalb ihrer Grenzen lagen, zu eigenen Landeskirchen umzuformen.",da,weitgehend unverändert
3355,159,"Erst wenn der alte Anzug der Gesellschaftsverfassung zu eng wird, denkt man an technischen und verkehrstechnischen Fortschritt, entsteht der Impuls für moralischen und geistigen Fortschritt, die verbesserten Institutionen",3,1,0,Metapher,"{'wird', 'Kleid', 'alte', 'das', 'eng', '...'}","['der Gesellschaftsverfassung', 'der Gesellschaftsverfassung', nan, nan]","['B', 'K', 'A', 'GoldStandard']"," Erst wenn das alte Kleid der Gesellschafsverfassung zu eng wird, sinnt man auf technische und Verkehrsfortschritte, entstehen die Impulse zu moralischen und geistigen Fortschritten, die verbesserten Institutionen",da,Wortlaut verändert
3356,160,"Erst wenn das letzte Erbprivileg der nicht regierenden Geschlechter abgeschafft ist, dann kann auch der Großkönig, der dieses hervorgebracht haben wird, das Erbrecht seiner Familie am Altar des Vaterlandes abgeben.",4,1,0,Metapher,"{'des', 'niederlegen', 'Vaterlandes', 'ALtar', 'auf', 'Altar', 'dem'}","['des Vaterlandes', nan, 'das Erbrecht', 'des Vaterlandes ', nan]","['B', 'A', 'P', 'K', 'GoldStandard']"," Erst wenn das letzte erbliche Vorrecht der nicht regierenden Familien beseitigt sein wird, dann mag der große König, der das zuwege gebracht haben wird, auch das Erbrecht seiner Familie auf dem Altar des Vaterlandes niederlegen.",da,weitgehend unverändert
3370,174,"Allerdings halten wir auch hier, wie bei so vielen anderen erstrebenswerten Zielen, ein erhabenes, tief in die Herzen der Menschen eingeprägtes Staatsideal für die Voraussetzung dafür, dass sich der Einzelne Interessenbegrenzungen auferlegt. von ganzen und zukünftigen Generationen der Menschen.",4,1,0,Metapher,"{'des', 'Herz', 'eingegrabenes', 'Volkes', 'tief', 'StaatsidealHerz', 'ins'}","['Staatsideal', 'Staatsideal', 'Herz,des Volkes', nan, 'Staatsideal']","['B', 'A', 'P', 'K', 'GoldStandard']"," Freilich scheint uns auch hier wie zur Erreichung so vieler anderer wünschenswerter Ziele ein hohes und tief ins Herz des Volkes eingegrabenes Staatsideal die Voraussetzung dafür zu sein, daß sich der ein- grabenes Staatsideal die Voraussetzung dafür zu sein, daß sich der einzelne im Interesse der Gesamtheit und der zukünftigen Volksgeneration zelne im Interesse der Gesamtheit und der zukünftigen Volksgeneration Beschränkungen auferlegt.",da,weitgehend unverändert
3376,180,"So wie die Organismen der niedrigsten Ordnung Stämme und Menschen vermehren, indem sie sich einfach von eins auf zwei, drei oder sogar zehn teilen, ohne Wehen oder Geburtswehen.",4,1,0,Metapher,"{'Geburtsschmerz', 'Wehen', 'ohne'}","['Teilung der Stämme und Völkerschaften', 'durchTeilung,sie [Stämme und Völkerschaften]', nan, 'vermehren sie [Stämme und Völkerschaften] sich einfach durch Teilung', nan]","['B', 'A', 'P', 'K', 'GoldStandard']"," Gleich den Organismen niederster Ordnung vermehren sie [Stämme und Völkerschaften] sich einfach durch Teilung; aus einem werden zwei, drei oder auch zehn, ohne Wehen und Geburtsschmerz.",da,weitgehend unverändert
3388,192,"In Wahrheit haben sich die germanischen Völker nicht in sich selbst zurückgezogen, sondern erst jetzt verschwand das letzte Zwielicht der antiken Zivilisation.",5,0,0,Metapher,"{'antiker', 'die', 'verblich', 'letzte', 'Abendröte', 'Civilisation', '...'}","['antiker Civilisation', 'antiker Civilisation', 'die letzte Abendröte', 'antiker Civilisation', nan]","['B', 'A', 'P', 'K', 'GoldStandard']"," In Wahrheit gingen nicht die germanischen Völker in sich zurück, sondern es verblich nun erst die letzte Abendröte antiker Civilisation.«",da,Wortlaut verändert
